timestamp,temperature,humidity,pressure,ldr,rain
2025-06-08T15:09:19.764590,31.8,67.0,1007.63,3301,4095
2025-06-08T15:09:20.064253,31.8,67.0,1007.5,3293,4095
2025-06-08T15:09:20.269342,31.8,67.0,1007.56,3293,4095
2025-06-08T15:09:20.447305,31.8,67.0,1007.51,3305,4095
2025-06-08T15:09:20.798240,31.8,67.0,1007.52,3275,4095
2025-06-08T15:09:21.087910,31.8,67.0,1007.47,3312,4095
2025-06-08T15:09:21.220003,31.8,67.0,1007.47,3318,4095
2025-06-08T15:09:21.350038,31.8,67.0,1007.41,3317,4095
2025-06-08T15:09:21.483837,31.8,67.0,1007.4,3309,4095
2025-06-08T15:09:21.618436,31.8,67.0,1007.42,3313,4095
2025-06-08T15:09:21.802809,31.8,67.0,1007.44,3314,4095
2025-06-08T15:09:21.950335,31.8,67.0,1007.46,3330,4095
2025-06-08T15:09:22.100673,31.8,67.0,1007.47,3322,4095
2025-06-08T15:09:22.417478,31.8,67.0,1007.49,3326,4095
2025-06-08T15:09:22.622971,31.8,67.0,1007.4,3320,4095
2025-06-08T15:09:23.897333,31.8,67.0,1007.41,3278,4095
2025-06-08T15:09:24.158147,31.8,67.0,1007.42,3306,4095
2025-06-08T15:09:24.296079,31.8,67.0,1007.42,3309,4095
2025-06-08T15:09:24.568781,31.8,67.0,1007.46,3311,4095
2025-06-08T15:09:24.715065,31.8,67.0,1007.39,3312,4095
2025-06-08T15:09:24.883861,31.8,67.0,1007.46,3270,4095
2025-06-08T15:09:25.080087,31.8,67.0,1007.39,3312,4095
2025-06-08T15:09:25.285804,31.8,67.0,1007.46,3309,4095
2025-06-08T15:09:25.490039,31.8,67.0,1007.42,3308,4095
2025-06-08T15:09:25.711006,31.8,67.0,1007.42,3297,4095
2025-06-08T15:09:25.917769,31.8,67.0,1007.4,3306,4095
2025-06-08T15:09:26.411133,31.8,67.0,1007.32,3306,4095
2025-06-08T15:09:26.616008,31.8,67.0,1007.39,3302,4095
2025-06-08T15:09:26.763589,31.8,67.0,1007.37,3305,4095
2025-06-08T15:09:27.025198,31.8,67.0,1007.4,3265,4095
2025-06-08T15:09:27.222706,31.8,67.0,1007.33,3299,4095
2025-06-08T15:09:27.430560,31.8,67.0,1007.35,3309,4095
2025-06-08T15:09:27.632868,31.8,67.0,1007.4,3310,4095
2025-06-08T15:09:27.783311,31.8,67.0,1007.39,3290,4095
2025-06-08T15:09:28.047323,31.8,67.0,1007.48,3283,4095
2025-06-08T15:09:28.242731,31.8,67.0,1007.46,3278,4095
2025-06-08T15:09:28.458975,31.8,67.0,1007.44,3268,4095
2025-06-08T15:09:28.663814,31.8,67.0,1007.36,3268,4095
2025-06-08T15:09:28.810742,31.8,67.0,1007.49,3258,4095
2025-06-08T15:09:29.077732,31.8,67.0,1007.39,3216,4095
2025-06-08T15:09:29.266320,31.8,67.0,1007.45,3247,4095
2025-06-08T15:09:29.470561,31.8,67.0,1007.38,3247,4095
2025-06-08T15:09:29.688155,31.8,67.0,1007.44,3249,4095
2025-06-08T15:09:29.983925,31.8,67.0,1007.42,3246,4095
2025-06-08T15:09:30.188682,31.8,67.0,1007.39,3248,4095
2025-06-08T15:09:30.391840,31.8,67.0,1007.41,3248,4095
2025-06-08T15:09:30.594230,31.8,67.0,1007.42,3252,4095
2025-06-08T15:09:30.766882,31.8,67.0,1007.37,3253,4095
2025-06-08T15:09:31.018651,31.8,67.0,1007.37,3249,4095
2025-06-08T15:09:31.175484,31.8,67.0,1007.38,3204,4095
2025-06-08T15:09:31.428319,31.8,67.0,1007.43,3232,4095
2025-06-08T15:09:31.631218,31.8,67.0,1007.48,3238,4095
2025-06-08T15:09:31.835105,31.8,67.0,1007.35,3227,4095
2025-06-08T15:09:32.039561,31.8,67.0,1007.39,3226,4095
2025-06-08T15:09:32.244029,31.8,67.0,1007.37,3226,4095
2025-06-08T15:09:32.368961,31.8,67.0,1007.41,3239,4095
2025-06-08T15:09:32.540758,31.8,67.0,1007.37,3242,4095
2025-06-08T15:09:32.759943,31.8,67.0,1007.38,3219,4095
2025-06-08T15:09:32.958880,31.8,67.0,1007.45,3243,4095
2025-06-08T15:09:33.083981,31.8,67.0,1007.42,3246,4095
2025-06-08T15:09:34.386546,31.8,67.0,1007.39,3200,4095
2025-06-08T15:09:34.531888,31.8,67.0,1007.28,3248,4095
2025-06-08T15:09:34.808540,31.8,67.0,1007.39,3248,4095
2025-06-08T15:09:35.017700,31.8,67.0,1007.32,3249,4095
2025-06-08T15:09:35.135521,31.8,67.0,1007.33,3248,4095
2025-06-08T15:09:36.454177,31.8,67.0,1007.28,3201,4095
2025-06-08T15:09:36.663052,31.8,67.0,1007.36,3213,4095
2025-06-08T15:09:36.805873,31.8,67.0,1007.3,3257,4095
2025-06-08T15:09:36.949794,31.8,67.0,1007.41,3249,4095
2025-06-08T15:09:37.278834,31.8,67.0,1007.31,3218,4095
2025-06-08T15:09:38.545602,31.8,67.0,1007.37,3189,4095
2025-06-08T15:09:38.796908,31.8,67.0,1007.36,3226,4095
2025-06-08T15:09:38.934205,31.8,67.0,1007.34,3216,4095
2025-06-08T15:09:39.118061,31.8,67.0,1007.31,3199,4095
2025-06-08T15:09:39.256392,31.8,67.0,1007.29,3215,4095
2025-06-08T15:09:39.532947,31.8,67.0,1007.29,3219,4095
2025-06-08T15:09:39.738940,31.8,67.0,1007.36,3170,4095
2025-06-08T15:09:39.942961,31.8,67.0,1007.32,3215,4095
2025-06-08T15:09:40.082177,31.8,67.0,1007.4,3216,4095
2025-06-08T15:09:40.231126,31.8,67.0,1007.39,3212,4095
2025-06-08T15:09:40.370257,31.8,67.0,1007.41,3201,4095
2025-06-08T15:09:40.565102,31.8,67.0,1007.35,3202,4095
2025-06-08T15:09:40.773554,31.8,67.0,1007.35,3220,4095
2025-06-08T15:09:40.917798,31.8,67.0,1007.4,3218,4095
2025-06-08T15:09:41.182090,31.8,67.0,1007.44,3219,4095
2025-06-08T15:09:41.328338,31.8,67.0,1007.37,3221,4095
